Open,High,Low,Close,Volume,Ticker,Date
517.4823290033976,531.0661525062956,515.0852267116348,529.268310546875,33285725.0,HSBA.L,2023-01-03
534.4621007906782,544.1505499373789,531.865224548733,542.8521118164062,21604090.0,HSBA.L,2023-01-04
547.346734003644,567.7224397274244,544.7488214650665,564.6260986328125,36654670.0,HSBA.L,2023-01-05
565.3252431155111,569.1706289531593,558.9328484903784,567.922119140625,31225164.0,HSBA.L,2023-01-06
563.82712475111,566.1243709942848,560.9305571211917,562.5286865234375,23530081.0,HSBA.L,2023-01-09
561.2302225063194,565.7248583695443,559.0767866714594,563.4275512695312,15239244.0,HSBA.L,2023-01-10
565.8246186427692,572.3168693421126,564.5261806953786,568.9208984375,51986581.0,HSBA.L,2023-01-11
571.6177098764099,584.9518310067364,570.5190456465217,581.1063842773438,27880378.0,HSBA.L,2023-01-12
584.3026785162139,593.8912109069037,583.5036443107234,590.4953002929688,72127539.0,HSBA.L,2023-01-13
592.6926715579193,597.2871638177108,591.3632035325294,595.389404296875,18356071.0,HSBA.L,2023-01-16
594.3906149056355,595.9887442790186,588.3977669208539,590.4953002929688,46847974.0,HSBA.L,2023-01-17
588.4976986118952,592.5927871161388,586.2004523543342,589.9959106445312,41081237.0,HSBA.L,2023-01-18
586.3002749344511,587.8983432920721,578.0101810247914,584.8020629882812,28885831.0,HSBA.L,2023-01-19
588.2978098615761,592.3928975656388,586.4000506060981,591.8934936523438,22978407.0,HSBA.L,2023-01-20
592.2931165824104,594.790136466822,591.3941650390625,591.3941650390625,13977254.0,HSBA.L,2023-01-23
593.4916820119795,596.7877359763568,588.6624237417578,594.0909423828125,14234046.0,HSBA.L,2023-01-24
595.5891703688225,598.7853680119081,593.4916980518223,597.7865600585938,28558123.0,HSBA.L,2023-01-25
597.3869801604878,603.1801147460938,595.7889119066356,603.1801147460938,44789252.0,HSBA.L,2023-01-26
600.2835836672565,602.88045997703,595.7889478494484,599.7841796875,24753721.0,HSBA.L,2023-01-27
597.1872606765838,601.8816089807109,591.39412615572,601.2823486328125,53950303.0,HSBA.L,2023-01-30
597.2870328543922,599.1847919591185,591.0944126289763,595.68896484375,31284255.0,HSBA.L,2023-01-31
591.2942894418516,600.5831909179688,589.9958513365702,600.5831909179688,27200209.0,HSBA.L,2023-02-01
594.1908464014857,595.3394389135066,587.09927370652,590.2954711914062,32064061.0,HSBA.L,2023-02-02
584.1029294728653,598.3858722492873,583.5036690339572,595.98876953125,31727455.0,HSBA.L,2023-02-03
597.3869618854092,598.2859133521982,590.8947107388494,595.2894897460938,14693528.0,HSBA.L,2023-02-06
601.8815843403462,605.5771855674807,600.1836597700134,604.2787475585938,23450768.0,HSBA.L,2023-02-07
608.174155256926,612.1693868606177,603.4797459301091,611.6699829101562,38881905.0,HSBA.L,2023-02-08
610.2715914842971,619.7602659836439,609.2727836422606,615.0658569335938,50067355.0,HSBA.L,2023-02-09
610.7710217941298,612.8684939680722,607.4749679654794,609.8720703125,44206705.0,HSBA.L,2023-02-10
609.8720429066743,614.4665955495235,609.5724127470606,612.9683837890625,17575858.0,HSBA.L,2023-02-13
610.4713093488223,611.0705696142172,604.5783192354276,608.4736938476562,23568066.0,HSBA.L,2023-02-14
603.2799147282132,613.2679927866272,601.1824427209024,611.5700073242188,28899482.0,HSBA.L,2023-02-15
614.0670967092766,620.2597180025871,612.0694808702989,617.662841796875,22110105.0,HSBA.L,2023-02-16
618.761428983318,622.9564339146659,613.2679861109883,620.3594970703125,49880459.0,HSBA.L,2023-02-17
621.358316333988,625.6532387015401,619.0610705556358,619.9600219726562,28987969.0,HSBA.L,2023-02-20
608.7733897558971,653.020565694979,607.1753215672542,646.7280883789062,90988771.0,HSBA.L,2023-02-21
638.7375846561775,641.2346041427146,630.8969678534072,635.3416137695312,61497084.0,HSBA.L,2023-02-22
629.2488984902299,631.2465140409925,621.8576965674526,629.3487548828125,20973923.0,HSBA.L,2023-02-23
629.5485520987972,636.3404330321016,629.5485520987972,634.942138671875,26410291.0,HSBA.L,2023-02-24
